TS : 2940344, TJ : 1466508
TS : 1331926, TJ : 1141190
TS : 2045398, TJ : 1867238
TS : 2465666, TJ : 2370508
TS : 2771868, TJ : 2009503
TS : 2147441, TJ : 1183995
TS : 5609335, TJ : 4694626
TS : 2271885, TJ : 1263350
TS : 4662491, TJ : 3485879
TS : 38896438, TJ : 38275595
TS : 30709306, TJ : 28517142
TS : 42210519, TJ : 41901799
TS : 2344052, TJ : 1550685
TS : 2646918, TJ : 1802965
TS : 1848109, TJ : 554010
TS : 2466217, TJ : 1416311
TS : 2314783, TJ : 1276691
TS : 2555587, TJ : 1498835
TS : 1665349, TJ : 995014
TS : 1691314, TJ : 725602
TS : 2426795, TJ : 1296332
TS : 2767436, TJ : 1703026
TS : 2133061, TJ : 1182722
TS : 1875034, TJ : 1319693
TS : 4670548, TJ : 3741630
TS : 2442486, TJ : 1410217
TS : 2708178, TJ : 1690089
TS : 2282234, TJ : 1252366
TS : 2417769, TJ : 1380301
TS : 2530947, TJ : 1442214
TS : 2913768, TJ : 1232119
TS : 5684696, TJ : 4072389
TS : 6267894, TJ : 2830592
TS : 16320455, TJ : 14567540
TS : 8278146, TJ : 7328106
TS : 42883623, TJ : 42214494
TS : 2886781, TJ : 1965836
TS : 3285899, TJ : 1751957
TS : 2781606, TJ : 1900297
TS : 5568857, TJ : 4297636
TS : 2410030, TJ : 1288187
TS : 2186152, TJ : 1427572
TS : 4707813, TJ : 1076614
TS : 2433516, TJ : 1333118
TS : 2341396, TJ : 1320704
TS : 2220559, TJ : 1317074
TS : 2079594, TJ : 1176018
TS : 2000525, TJ : 1152943
TS : 2149154, TJ : 1189913
TS : 2765686, TJ : 1580846
TS : 2243111, TJ : 1285745
TS : 2156254, TJ : 1162111
TS : 2415724, TJ : 1399545
TS : 2392727, TJ : 1366859
TS : 2546042, TJ : 1437297
TS : 1930270, TJ : 1038658
TS : 2411889, TJ : 1336389
TS : 2429184, TJ : 1442780
TS : 1991726, TJ : 1080934
TS : 1800995, TJ : 958256
TS : 1950863, TJ : 1078351
TS : 1473641, TJ : 1302222
TS : 43094306, TJ : 42181573
TS : 3109284, TJ : 2968118
TS : 4550182, TJ : 3621982
TS : 2993069, TJ : 1404811
TS : 5174897, TJ : 3978859
TS : 6635704, TJ : 4443216
TS : 2260775, TJ : 1242051
TS : 1466681, TJ : 627136
TS : 2051933, TJ : 1189582
TS : 2519951, TJ : 1433030
TS : 1643424, TJ : 1064294
TS : 2004379, TJ : 1171057
TS : 2201706, TJ : 1272737
TS : 1196263, TJ : 1056231
TS : 1789269, TJ : 1674606
TS : 8696291, TJ : 8588201
TS : 45003621, TJ : 43956295
TS : 4906208, TJ : 3878130
TS : 5264862, TJ : 4259052
TS : 2456717, TJ : 1417021
TS : 2103313, TJ : 1217789
TS : 1987233, TJ : 1124043
TS : 3499749, TJ : 2592326
TS : 7862329, TJ : 6730186
TS : 2078794, TJ : 1143626
TS : 3414458, TJ : 2588515
TS : 2122296, TJ : 1290321
TS : 1685250, TJ : 1084739
TS : 2672971, TJ : 1806653
TS : 1965922, TJ : 1272780
TS : 2579250, TJ : 1108669
TS : 3858590, TJ : 2796465
TS : 4148529, TJ : 3690436
TS : 1697171, TJ : 1498580
TS : 6109145, TJ : 5988601
TS : 10782711, TJ : 10639192
TS : 1105748, TJ : 988982
TS : 1153293, TJ : 1036390
TS : 1885810, TJ : 1355875
TS : 3612321, TJ : 1898819
TS : 4723385, TJ : 2941930
TS : 1084095, TJ : 989435
TS : 7902119, TJ : 6262302
TS : 1878392, TJ : 1381183
TS : 2179637, TJ : 1268222
TS : 1969777, TJ : 1185986
TS : 1401328, TJ : 858453
TS : 2717044, TJ : 1587266
TS : 2501095, TJ : 1417888
TS : 2453687, TJ : 1539252
TS : 2165476, TJ : 1292611
TS : 2054223, TJ : 1119743
TS : 4936290, TJ : 3825904
TS : 2409261, TJ : 1361257
TS : 5189939, TJ : 4245125
TS : 5562829, TJ : 4253651
TS : 7311783, TJ : 4915411
TS : 2483143, TJ : 1453850
TS : 2552525, TJ : 1394734
TS : 2086102, TJ : 1110704
TS : 2321916, TJ : 1336361
TS : 5120256, TJ : 4133302
TS : 2155868, TJ : 1195466
TS : 2382993, TJ : 1361150
TS : 2244893, TJ : 1300007
TS : 5185374, TJ : 4181113
TS : 6304755, TJ : 4779121
TS : 2193587, TJ : 1183987
TS : 2469901, TJ : 1418188
TS : 4175302, TJ : 1213099
TS : 7823129, TJ : 6487505
TS : 2271325, TJ : 1273407
TS : 6980144, TJ : 6076545
TS : 4900028, TJ : 4035085
TS : 2924173, TJ : 1793912
TS : 5157260, TJ : 4034126
TS : 3164569, TJ : 2303887
TS : 3145254, TJ : 1667965
TS : 1852746, TJ : 935417
TS : 2185526, TJ : 1481424
TS : 7296053, TJ : 6530528
TS : 2116501, TJ : 1228492
TS : 4523179, TJ : 3480939
TS : 4203947, TJ : 2615084
TS : 6427959, TJ : 1440926
TS : 6880315, TJ : 4238324
TS : 8231674, TJ : 6740547
TS : 4119607, TJ : 3097126
TS : 3940748, TJ : 1879692
TS : 4052768, TJ : 3167255
TS : 7192450, TJ : 3517778
TS : 9999687, TJ : 6431129
TS : 12752340, TJ : 11843268
TS : 18891830, TJ : 4176786
TS : 3281787, TJ : 1521575
TS : 5496296, TJ : 3757631
TS : 8380068, TJ : 4630017
TS : 12528279, TJ : 11498626
TS : 21573845, TJ : 20200682
TS : 2559867, TJ : 1399421
TS : 7911928, TJ : 3283817
TS : 8831158, TJ : 7427859
TS : 6643431, TJ : 3871037
TS : 1983009, TJ : 1071982
TS : 2393850, TJ : 1307878
TS : 2040938, TJ : 1064288
TS : 7214020, TJ : 6274016
TS : 1923579, TJ : 1106973
TS : 1832364, TJ : 1038840
TS : 2520061, TJ : 1492134
TS : 6058587, TJ : 1122541
TS : 8792380, TJ : 1485826
