TS : 229684542, TJ : 196285664
TS : 4788319, TJ : 4319961
TS : 29639401, TJ : 28881016
TS : 3653840, TJ : 3160158
TS : 5958194, TJ : 5418540
TS : 7518233, TJ : 7071302
TS : 4261759, TJ : 2739393
TS : 49433650, TJ : 48930200
TS : 11916850, TJ : 10157950
TS : 2465287, TJ : 2037238
TS : 15790668, TJ : 15363699
TS : 2367044, TJ : 1879973
TS : 2219489, TJ : 1803931
TS : 2503177, TJ : 2059467
TS : 3179285, TJ : 2018420
TS : 15629762, TJ : 14875183
TS : 3248132, TJ : 2827158
TS : 5045924, TJ : 4061999
TS : 5111705, TJ : 4625219
TS : 8401847, TJ : 7982880
TS : 30942727, TJ : 30536691
TS : 3298843, TJ : 2583981
TS : 40298072, TJ : 39918587
TS : 2463774, TJ : 1945297
TS : 2475029, TJ : 2061753
TS : 11144895, TJ : 9903616
TS : 2377825, TJ : 2009308
TS : 386793768, TJ : 386046096
TS : 56939468, TJ : 56573075
TS : 5081658, TJ : 4730336
TS : 3413751, TJ : 3049930
TS : 3241671, TJ : 2759248
TS : 3106504, TJ : 2471557
TS : 48504971, TJ : 48224406
TS : 2105649, TJ : 1717022
TS : 2999502, TJ : 2551898
TS : 2249809, TJ : 1926484
TS : 2480194, TJ : 2075863
TS : 2473101, TJ : 1680905
TS : 9714147, TJ : 9308530
TS : 2290752, TJ : 1878852
TS : 2291483, TJ : 1920140
TS : 2254117, TJ : 1879658
TS : 3108192, TJ : 2616502
TS : 2151416, TJ : 1751091
TS : 2158798, TJ : 1786026
TS : 5002667, TJ : 4660056
TS : 2056458, TJ : 1623389
TS : 2803498, TJ : 2410901
TS : 2090586, TJ : 1660359
TS : 9781999, TJ : 9335672
TS : 3174969, TJ : 2789539
TS : 3396062, TJ : 3065921
TS : 5474823, TJ : 5081174
TS : 2111768, TJ : 1742641
TS : 19979727, TJ : 19582153
TS : 5161575, TJ : 4772712
TS : 21800926, TJ : 21404268
TS : 3016950, TJ : 2594129
TS : 3569065, TJ : 2850091
TS : 2287814, TJ : 1923238
TS : 2345612, TJ : 1941215
TS : 2069120, TJ : 1666465
TS : 13361175, TJ : 13013090
TS : 2433786, TJ : 1979955
TS : 2636594, TJ : 1629880
TS : 2192153, TJ : 1806948
TS : 1863892, TJ : 1562972
TS : 2104555, TJ : 1793021
TS : 2094336, TJ : 1725892
TS : 2040041, TJ : 1603364
TS : 32949926, TJ : 32570062
TS : 2149199, TJ : 1820358
TS : 10112022, TJ : 9744468
TS : 2654697, TJ : 1981864
TS : 6286958, TJ : 5874564
TS : 2129085, TJ : 1750477
TS : 34216815, TJ : 33859469
TS : 2314239, TJ : 1998389
TS : 145397995, TJ : 145037503
TS : 2520138, TJ : 2111723
TS : 2118123, TJ : 1760915
TS : 117346449, TJ : 116989438
TS : 2817216, TJ : 2446000
TS : 2775621, TJ : 2380849
TS : 3087703, TJ : 2719984
TS : 8734981, TJ : 8426768
TS : 9125768, TJ : 8740284
TS : 6356891, TJ : 5974453
TS : 4760496, TJ : 4400326
TS : 5042565, TJ : 4630851
TS : 2092855, TJ : 1713394
TS : 1901896, TJ : 1512089
TS : 2300475, TJ : 1776583
TS : 2256057, TJ : 1837241
TS : 4563352, TJ : 3573647
TS : 2176357, TJ : 1816274
TS : 2179756, TJ : 1794569
TS : 2001362, TJ : 1647641
TS : 2468569, TJ : 1729754
TS : 6302994, TJ : 5825895
TS : 2447792, TJ : 2106316
TS : 2276412, TJ : 1923843
TS : 2069696, TJ : 1751246
TS : 4541521, TJ : 4035550
TS : 20086733, TJ : 19754694
TS : 3579151, TJ : 2545621
TS : 2134650, TJ : 1792751
TS : 2075625, TJ : 1660400
TS : 2603705, TJ : 2228350
TS : 2487525, TJ : 2075756
TS : 2353059, TJ : 1975480
TS : 53831813, TJ : 53429582
TS : 2904303, TJ : 1562431
TS : 4863278, TJ : 4509696
TS : 2970003, TJ : 2623730
TS : 10854438, TJ : 10251952
TS : 4557496, TJ : 4157335
TS : 2520583, TJ : 2154702
TS : 4418025, TJ : 4052767
TS : 4428688, TJ : 4036153
TS : 7719106, TJ : 7373777
TS : 3573656, TJ : 3157545
TS : 1891693, TJ : 1527445
TS : 9043301, TJ : 8705257
TS : 6020815, TJ : 1602708
TS : 2214469, TJ : 1853750
TS : 4108618, TJ : 3700178
TS : 2362976, TJ : 1951732
TS : 3611628, TJ : 1713278
TS : 1980092, TJ : 1619016
TS : 143075301, TJ : 142634512
TS : 5450753, TJ : 5057067
TS : 2044598, TJ : 1710576
TS : 2357043, TJ : 1673582
TS : 2756542, TJ : 2365379
TS : 2514258, TJ : 2121567
TS : 2160098, TJ : 1739326
TS : 4157806, TJ : 3798713
TS : 2155876, TJ : 1745051
TS : 1936375, TJ : 1568931
TS : 1975632, TJ : 1628419
TS : 4501710, TJ : 4107438
TS : 8160982, TJ : 7734236
TS : 1922918, TJ : 1491058
TS : 4037037, TJ : 3620588
TS : 4863526, TJ : 4466925
TS : 1827468, TJ : 1480685
TS : 4264324, TJ : 3895290
TS : 2000981, TJ : 1559210
TS : 2084816, TJ : 1762707
TS : 1844339, TJ : 1551141
TS : 2181039, TJ : 1765805
TS : 2073821, TJ : 1674408
TS : 2228572, TJ : 1881851
TS : 1986022, TJ : 1584493
TS : 1932134, TJ : 1574449
TS : 2079104, TJ : 1688465
TS : 2253400, TJ : 1906180
TS : 51411879, TJ : 51032305
TS : 4969570, TJ : 4527160
TS : 2801100, TJ : 2435313
TS : 5470220, TJ : 5081723
TS : 14840803, TJ : 14451377
TS : 1965229, TJ : 1565125
TS : 1890144, TJ : 1583015
TS : 2067441, TJ : 1699761
TS : 1935919, TJ : 1528603
TS : 16630164, TJ : 14350719
TS : 7409663, TJ : 7065537
TS : 5636713, TJ : 5233527
TS : 2058994, TJ : 1695094
TS : 2143199, TJ : 1707563
TS : 4194240, TJ : 1624629
TS : 2745379, TJ : 1630451
TS : 2449342, TJ : 1669570
TS : 2258811, TJ : 1886228
TS : 5733874, TJ : 5362957
TS : 4808680, TJ : 4417476
TS : 10542479, TJ : 10147673
TS : 1600520, TJ : 1497326
TS : 6329060, TJ : 5991720
TS : 2014604, TJ : 1574626
TS : 3427384, TJ : 3034801
TS : 2368056, TJ : 1569338
TS : 2916973, TJ : 2070614
TS : 2160196, TJ : 1773944
