TS : 262138414, TJ : 231569806
TS : 5012787, TJ : 4638345
TS : 359551425, TJ : 327917100
TS : 365478813, TJ : 336135337
TS : 8733726, TJ : 6087944
TS : 8794945, TJ : 4667009
TS : 15083583, TJ : 14694873
TS : 7762179, TJ : 6786787
TS : 5831565, TJ : 4873913
TS : 57260076, TJ : 54056788
TS : 3610514, TJ : 3321509
TS : 61693626, TJ : 61279878
TS : 78243527, TJ : 73625398
TS : 7618454, TJ : 7211981
TS : 4634452, TJ : 4199090
TS : 64996047, TJ : 61952276
TS : 8997527, TJ : 7238502
TS : 2681653, TJ : 1728757
TS : 8122771, TJ : 7711622
TS : 17434266, TJ : 13051896
TS : 9377900, TJ : 6984864
TS : 4973285, TJ : 1749573
TS : 3632320, TJ : 1782508
TS : 2122531, TJ : 1886934
TS : 2496848, TJ : 2098326
TS : 9267893, TJ : 9020361
TS : 2522621, TJ : 2263938
TS : 1829442, TJ : 1558128
TS : 34356101, TJ : 33461799
TS : 82073369, TJ : 81834045
TS : 6334507, TJ : 6100147
TS : 5105616, TJ : 4824492
TS : 3710020, TJ : 3417789
TS : 13232401, TJ : 12238903
TS : 1464545, TJ : 1203990
TS : 4499016, TJ : 4266529
TS : 6647571, TJ : 6410445
TS : 12551578, TJ : 12296393
TS : 11546435, TJ : 6551659
TS : 10493861, TJ : 9575849
TS : 7149597, TJ : 6727152
TS : 5660821, TJ : 5059565
TS : 35095790, TJ : 30663577
TS : 9578832, TJ : 2785114
TS : 6162729, TJ : 5271634
TS : 6279770, TJ : 4683219
TS : 8319361, TJ : 6808877
TS : 2167900, TJ : 1920437
TS : 45366120, TJ : 45119162
TS : 312575842, TJ : 312329566
TS : 2411515, TJ : 1998308
TS : 4090936, TJ : 1461726
TS : 9275914, TJ : 8762743
TS : 11136041, TJ : 8336474
TS : 9094309, TJ : 1749758
TS : 2398618, TJ : 2330410
TS : 2897924, TJ : 1518296
TS : 146517333, TJ : 146257009
TS : 31256478, TJ : 10590200
TS : 31826461, TJ : 20823536
TS : 30674967, TJ : 16818242
