TS : 3058900, TJ : 2417516
TS : 5723149, TJ : 4389619
TS : 14686928, TJ : 14313454
TS : 14402968, TJ : 13675521
TS : 11230294, TJ : 9259452
TS : 5465257, TJ : 2255629
TS : 1246620, TJ : 813908
TS : 1220943, TJ : 980148
TS : 28698453, TJ : 28042463
TS : 1157104, TJ : 786076
TS : 1657911, TJ : 1153669
TS : 2912519, TJ : 2196032
TS : 1051927, TJ : 745537
TS : 4196711, TJ : 1631637
TS : 1027683, TJ : 798600
TS : 2829660, TJ : 705681
TS : 1136433, TJ : 848818
TS : 1125071, TJ : 851925
TS : 8107512, TJ : 7868185
TS : 1134218, TJ : 930699
TS : 27880870, TJ : 24476460
TS : 6536029, TJ : 4651444
TS : 103079552, TJ : 102663756
TS : 1386829, TJ : 1032687
TS : 1025963, TJ : 799046
TS : 1542662, TJ : 1081487
TS : 2472711, TJ : 1784548
TS : 3982926, TJ : 746590
TS : 1430360, TJ : 1052924
TS : 2935640, TJ : 2491691
TS : 1144218, TJ : 884213
TS : 1057189, TJ : 812894
TS : 4668143, TJ : 4217213
TS : 1131205, TJ : 897518
TS : 5046583, TJ : 2956045
TS : 1171800, TJ : 720151
TS : 955655, TJ : 720716
TS : 4145963, TJ : 956930
TS : 12670125, TJ : 3683205
TS : 4930734, TJ : 1331824
TS : 2107456, TJ : 1701212
TS : 1735413, TJ : 1196138
TS : 2958238, TJ : 2460120
TS : 6040095, TJ : 1652718
TS : 19009318, TJ : 18451267
TS : 1545188, TJ : 1058794
TS : 3255369, TJ : 936924
TS : 2937957, TJ : 2612266
TS : 1477424, TJ : 1013502
TS : 1304785, TJ : 995500
TS : 2069855, TJ : 1156994
TS : 2771562, TJ : 1937884
TS : 6657141, TJ : 6073907
TS : 9578179, TJ : 9166524
TS : 10099374, TJ : 9530500
TS : 14681439, TJ : 14277064
TS : 1314018, TJ : 817931
TS : 2787125, TJ : 2137823
TS : 988612, TJ : 759630
TS : 5370782, TJ : 5137070
TS : 4562386, TJ : 4329886
TS : 97022755, TJ : 96675848
TS : 2213859, TJ : 1273390
TS : 3202155, TJ : 2186137
TS : 5722361, TJ : 4986198
TS : 6060489, TJ : 4879669
TS : 2675991, TJ : 707585
TS : 4547830, TJ : 960268
TS : 886589, TJ : 641787
TS : 974672, TJ : 687138
TS : 3527553, TJ : 3216513
TS : 30346239, TJ : 29989945
TS : 3207397, TJ : 2978052
TS : 1374038, TJ : 1009118
TS : 40607935, TJ : 39927275
TS : 16982935, TJ : 16630198
TS : 2433797, TJ : 2133020
TS : 1096477, TJ : 851089
TS : 2686473, TJ : 2438863
TS : 21082118, TJ : 20169903
TS : 181417075, TJ : 180845158
TS : 5415435, TJ : 4680667
TS : 21396078, TJ : 21117016
TS : 4002301, TJ : 2820190
TS : 8105945, TJ : 4019424
TS : 6109832, TJ : 4094486
TS : 1102098, TJ : 757165
TS : 15578069, TJ : 12514497
TS : 9612741, TJ : 6706921
TS : 45630170, TJ : 45364845
TS : 5396839, TJ : 4974887
TS : 6325887, TJ : 6074864
TS : 11486372, TJ : 11186974
TS : 1017220, TJ : 777936
TS : 9962971, TJ : 9705025
TS : 7635284, TJ : 7376485
TS : 1010860, TJ : 784814
TS : 875451, TJ : 648151
TS : 847704, TJ : 619294
TS : 1208461, TJ : 940442
TS : 937181, TJ : 704053
TS : 927279, TJ : 646287
TS : 2128811, TJ : 655778
TS : 2033415, TJ : 1537515
TS : 1326800, TJ : 809793
TS : 2691957, TJ : 2150927
TS : 6887720, TJ : 6165381
TS : 8257683, TJ : 7094469
TS : 3389138, TJ : 804328
TS : 1235685, TJ : 834275
TS : 2594529, TJ : 728445
TS : 3605840, TJ : 1272993
TS : 7844180, TJ : 1074763
TS : 14251940, TJ : 10092164
TS : 25935413, TJ : 24949290
TS : 8480291, TJ : 2244504
TS : 1860963, TJ : 1550745
TS : 23254198, TJ : 22656950
TS : 34364147, TJ : 909552
TS : 1277056, TJ : 799274
TS : 1571320, TJ : 1196729
TS : 1344806, TJ : 942127
TS : 2728462, TJ : 653634
TS : 5266347, TJ : 2318227
TS : 1521536, TJ : 766987
TS : 3058004, TJ : 1048331
TS : 8251585, TJ : 7984073
TS : 9867079, TJ : 2661434
TS : 22626882, TJ : 898759
TS : 19111476, TJ : 18858470
TS : 2190522, TJ : 1160516
TS : 24911132, TJ : 19285207
TS : 3197858, TJ : 1165300
TS : 54784139, TJ : 51929522
TS : 30529275, TJ : 18970136
TS : 3333473, TJ : 1142661
TS : 7473834, TJ : 991936
TS : 9006732, TJ : 5869385
TS : 63037805, TJ : 61290712
TS : 8218167, TJ : 2053336
TS : 31013034, TJ : 28310628
TS : 12676253, TJ : 5232969
TS : 1668400, TJ : 1346967
TS : 1342646, TJ : 1067315
TS : 1220005, TJ : 788889
TS : 2349720, TJ : 768471
TS : 970416, TJ : 700155
TS : 961396, TJ : 688876
TS : 1665803, TJ : 844428
TS : 3210639, TJ : 851981
TS : 16590508, TJ : 13578381
TS : 52147386, TJ : 51866749
TS : 32096985, TJ : 1413728
TS : 47951032, TJ : 47684509
TS : 30649931, TJ : 2798742
TS : 48463037, TJ : 30455138
TS : 37929248, TJ : 1929866
TS : 36421870, TJ : 1838442
TS : 37925938, TJ : 1046546
TS : 41721859, TJ : 2757201
TS : 46742794, TJ : 1908567
TS : 71787220, TJ : 67638918
TS : 69020017, TJ : 30274768
TS : 50817294, TJ : 3017834
TS : 52248153, TJ : 3633896
TS : 52655087, TJ : 922913
TS : 53572936, TJ : 823548
TS : 69428282, TJ : 14525180
TS : 62144456, TJ : 701421
TS : 80517005, TJ : 29557787
TS : 69037114, TJ : 855276
TS : 74509789, TJ : 1242742
TS : 77656462, TJ : 1094876
TS : 91144777, TJ : 36600290
TS : 86021814, TJ : 2398967
TS : 88288076, TJ : 1183077
TS : 93689609, TJ : 806683
TS : 100082188, TJ : 39797561
TS : 105201570, TJ : 48398621
TS : 78099251, TJ : 984173
TS : 82181927, TJ : 1232160
TS : 86465776, TJ : 884652
TS : 103429444, TJ : 6414908
TS : 104529331, TJ : 3337070
TS : 105779386, TJ : 4624765
TS : 119986355, TJ : 41114698
TS : 123158473, TJ : 42241326
TS : 113564703, TJ : 892080
TS : 132193030, TJ : 38152314
TS : 123382836, TJ : 9229245
TS : 118071292, TJ : 6598418
TS : 116661789, TJ : 1474878
TS : 118507759, TJ : 1636929
TS : 123108498, TJ : 1186374
TS : 130297645, TJ : 1489607
TS : 135184569, TJ : 23361646
TS : 160869065, TJ : 54104483
TS : 117370050, TJ : 1103245
TS : 112260025, TJ : 860699
TS : 138515738, TJ : 4259308
TS : 323109389, TJ : 318067766
TS : 120031171, TJ : 3371549
TS : 115901810, TJ : 842485
TS : 118272003, TJ : 9239096
TS : 178972436, TJ : 69019097
TS : 111241274, TJ : 857218
TS : 120546208, TJ : 2116475
TS : 121334644, TJ : 13941904
TS : 99753788, TJ : 1921873
TS : 135668095, TJ : 25542361
TS : 119357189, TJ : 1269762
TS : 144155354, TJ : 28017331
TS : 118002037, TJ : 1702818
TS : 128024802, TJ : 1149163
TS : 146249203, TJ : 30904957
TS : 128345793, TJ : 1146450
TS : 122373061, TJ : 2128619
TS : 131293936, TJ : 973108
TS : 150634264, TJ : 47126242
TS : 333490499, TJ : 333220856
TS : 134311823, TJ : 1308907
TS : 141835349, TJ : 3810326
TS : 146999623, TJ : 29606696
TS : 141723247, TJ : 929332
TS : 177517438, TJ : 72548710
TS : 137611594, TJ : 1166651
TS : 153714234, TJ : 21191480
TS : 126168392, TJ : 1189815
TS : 135789061, TJ : 1160645
TS : 151320969, TJ : 28541620
TS : 139043850, TJ : 1060505
TS : 161479041, TJ : 32297646
TS : 132238203, TJ : 1394967
TS : 159667472, TJ : 26893649
TS : 147029138, TJ : 26535571
TS : 216430143, TJ : 82415340
TS : 145213709, TJ : 3834499
TS : 130083585, TJ : 4555184
TS : 136764572, TJ : 12482538
TS : 132945998, TJ : 650968
TS : 133712761, TJ : 879853
TS : 135344312, TJ : 941198
TS : 138384724, TJ : 8998435
TS : 194912810, TJ : 69606073
TS : 555695614, TJ : 554980093
TS : 148846516, TJ : 966132
TS : 140174738, TJ : 1172228
TS : 159259334, TJ : 19311698
